buis,"[1000.0, 145]"
intensity,"[0.015770703757128156, 85]"
coordinate,"[0.01575858976039753, 83]"
insight,"[0.01573781410589051, 139]"
ambitious,"[0.015733475247267016, 80]"
emergency,"[0.015719220265811275, 121]"
2018,"[0.015695643229897877, 187]"
vulnerability,"[0.015686264104368935, 93]"
conference,"[0.015681831476652815, 179]"
air,"[0.015665478678881968, 565]"
assessment,"[0.01566355045511466, 121]"
accuracy,"[0.015661351606405343, 103]"
urgent,"[0.015650802687727432, 119]"
survey,"[0.015626448687793344, 180]"
landscape,"[0.015622248735329445, 83]"
historic,"[0.01562212533878021, 55]"
induce,"[0.01560956503265967, 75]"
level,"[0.015605924481648282, 761]"
research,"[0.015589134220871546, 800]"
related,"[0.015570429271922315, 68]"
hot,"[0.015570054242221538, 158]"
operational,"[0.015549343459290979, 87]"
transition,"[0.01553258861760751, 99]"
method,"[0.01552835119166423, 107]"
humanity,"[0.0155273180805531, 66]"
collaboration,"[0.015484756620979897, 125]"
rapidly,"[0.015479762313939785, 168]"
china,"[0.015461487607229476, 94]"
ground,"[0.015458351047363384, 61]"
nature,"[0.0154260755393685, 212]"
region,"[0.015390274207255642, 655]"
attend,"[0.015385127225922324, 53]"
upper,"[0.01538175096442018, 101]"
sciences,"[0.015365874722101058, 135]"
continuous,"[0.015358632168601229, 60]"
2000,"[0.01535491058540285, 89]"
german,"[0.015351731260095937, 76]"
availability,"[0.015313274352527852, 61]"
experiment,"[0.015262879315968803, 220]"
urban,"[0.015257838495593963, 102]"
sink,"[0.015250821453481923, 103]"
celebrate,"[0.015241474349383211, 57]"
evolution,"[0.015236019484850278, 55]"
june,"[0.015231280610461051, 160]"
disappear,"[0.015216350445179872, 66]"
unprecedented,"[0.015177713034464557, 147]"
user,"[0.015173269688757799, 61]"
accurately,"[0.015155535082662458, 94]"
twin,"[0.015144687650213366, 66]"
yield,"[0.015142145307014314, 77]"
vulnerable,"[0.015140144192052118, 211]"
thank,"[0.015112028876833302, 90]"
agreement,"[0.015110935542267652, 155]"
analyze,"[0.015105678564612922, 184]"
update,"[0.015091743276622221, 121]"
calculate,"[0.015052724068275866, 137]"
derive,"[0.015025723656823984, 71]"
recovery,"[0.015015856966025054, 167]"
panel,"[0.014970718180351015, 152]"
vital,"[0.014965685270647964, 127]"
shrink,"[0.014943151809832599, 89]"
characteristic,"[0.014923905199616557, 68]"
generation,"[0.014916383063923408, 197]"
threat,"[0.01488828131870476, 176]"
volume,"[0.014883810818327833, 87]"
interaction,"[0.014875794160546334, 88]"
collection,"[0.014832198349755962, 68]"
phenomenon,"[0.014827433337135536, 129]"
technology,"[0.01480937059009933, 381]"
probe,"[0.014778912433411668, 56]"
devastate,"[0.014766648616123316, 104]"
eat,"[0.014766429600699299, 60]"
pledge,"[0.014743932240066898, 57]"
site,"[0.014741282597896964, 133]"
outline,"[0.014734649164890307, 66]"
sky,"[0.014734482963321577, 82]"
risk,"[0.014728410675113403, 315]"
northern,"[0.014723892556321255, 235]"
engineer,"[0.014723513128163277, 129]"
